123	
75000	15000
85000	15000
85000	20000
65000	25000
85000	25000
90000	25000
65000	30000
75000	30000
80000	30000
85000	30000
65000	35000
70000	35000
85000	35000
60000	40000
85000	40000
90000	40000
75000	45000
80000	45000
85000	45000
40000	50000
50000	50000
75000	50000
90000	50000
30000	55000
65000	55000
70000	55000
80000	55000
85000	55000
50000	60000
55000	60000
60000	60000
90000	60000
30000	65000
55000	65000
65000	65000
80000	65000
85000	65000
90000	65000
100000	65000
20000	70000
60000	70000
75000	70000
85000	70000
95000	70000
100000	70000
45000	75000
50000	75000
55000	75000
70000	75000
80000	75000
90000	75000
105000	75000
40000	80000
50000	80000
60000	80000
80000	80000
95000	80000
100000	80000
110000	80000
5000	85000
35000	85000
55000	85000
60000	85000
90000	85000
95000	85000
105000	85000
110000	85000
0	90000
50000	90000
60000	90000
95000	90000
105000	90000
110000	90000
120000	90000
125000	90000
15000	95000
20000	95000
75000	95000
95000	95000
110000	95000
115000	95000
120000	95000
-5000	100000
30000	100000
85000	100000
95000	100000
105000	100000
120000	100000
125000	100000
130000	100000
30000	105000
35000	105000
50000	105000
90000	105000
95000	105000
100000	105000
110000	105000
115000	105000
120000	105000
-10000	110000
35000	110000
60000	110000
80000	110000
90000	110000
105000	110000
110000	110000
115000	110000
130000	110000
90000	115000
100000	115000
105000	115000
110000	115000
115000	115000
125000	115000
135000	115000
65000	120000
75000	120000
115000	120000
130000	120000
135000	120000
140000	120000
145000	120000
50000	125000
